pica_p	pica_p_uf	marc21
039N	$7	787 $w(DE-600)
039N	$9	787 $w(DE-627)
039N	$a	787 $a
039N	$l	787 $a
039N	$t	787 $t
039N	$g	787 $b
039N	$d	787 $d
039N	$e	787 $d
039N	$f	787 $d
039N	$p	787 $g
039N	$h	787 $h
039N	$C	787 $w(Sigel)
039N	$6	787 $o $w $x $z
039P	$T	880 $6
039P	$U	880 $6
039P	$i	787 $i
039P	$n	787 $n
039P	$7	787 $w(DE-600)
039P	$9	787 $w(DE-627)
039P	$a	787 $a
039P	$l	787 $a
039P	$t	787 $t
039P	$g	787 $b
039P	$d	787 $d
039P	$e	787 $d
039P	$f	787 $d
039P	$p	787 $g
039P	$h	787 $h
039P	$C	787 $w(Sigel)
039P	$6	787 $o $w $x $z
039Q	$T	880 $6
039Q	$U	880 $6
039Q	$i	787 $i
039Q	$n	787 $n
039Q	$7	787 $w(DE-600)
039Q	$9	787 $w(DE-627)
039Q	$a	787 $a
039Q	$l	787 $a
039Q	$t	787 $t
039Q	$g	787 $b
039Q	$d	787 $d
039Q	$e	787 $d
039Q	$f	787 $d
039Q	$p	787 $g
039Q	$h	787 $h
039Q	$C	787 $w(Sigel)
039Q	$6	787 $o $w $x $z
047B	$a	591 $a
007P	$0	026 $e
010@	$a	008041 $a
028C	$9	700 $0(DE-627)
028G	$9	700 $0(DE-627)
046X	$a	583 $a850 $a
046X	$z	583 $z
039B	$i	773 $i
039B	$a	773 $a
039B	$C	773 $w(Sigel)
039B	$6	773 $o $w $x $z
039C	$i	770 $i
039C	$a	770 $a
039C	$C	770 $w(Sigel)
039C	$6	770 $o $w $x $z
237A	$a	852 $z
017R	$b	506 $q
017R	$a	506 $a
017R	$g	506 $e
017R	$u	506 $u
017M	$u	540 $u
044N	$T	880 $6
044N	$U	880 $6
037Q	$2	563 $3
037Q	$3	563 $3
037Q	$S	563 $a
037Q	$a	563 $a
037Q	$9	700/710 $0(DE-627)
037Q	$b	563 $a
